Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Engishiki. Maki 16. English.		 | Engishiki. Maki 16. English.		http://example.org/1378244#Work730-29	blank
Occasional paper (Arizona State University. Center for Asian Studies) ;	Bock, Felicia Gressitt.	Bock, Felicia Gressitt. | Occasional paper (Arizona State University. Center for Asian Studies) ;		http://example.org/1378244#Work830-30	blank
Classless 1985	Bartl, Peter (Peter F.).	Bartl, Peter (Peter F.). | Classless 1985		http://example.org/1302673#Work	blank
Class projects.	Bartl, Peter (Peter F.).	Bartl, Peter (Peter F.). | Class projects.		http://example.org/1302673#Work810-20	blank
Clés et codes de l'image : l'image numérisée, la vidéo, le cinéma /	Baticle, Yveline.	Baticle, Yveline. | Clés et codes de l'image : l'image numérisée, la vidéo, le cinéma /		http://example.org/1376444#Work	blank
Collection Information, communication.	Baticle, Yveline.	Baticle, Yveline. | Collection Information, communication.		http://example.org/1376444#Work830-26	blank
Magnard université.	Baticle, Yveline.	Baticle, Yveline. | Magnard université.		http://example.org/1376444#Work830-27	blank
CMAJ : Canadian Medical Association journal : journal de l'Association medicale canadienne.	Canadian Medical Association.	Canadian Medical Association. | CMAJ : Canadian Medical Association journal : journal de l'Association medicale canadienne.		http://example.org/1358282#Work	blank
		 | 		http://example.org/1358282#Work770-47	blank
		 | 		http://example.org/1358282#Work780-48	blank
Come &amp; celebrate : more center celebrations /	Hilliard, Dick.	Hilliard, Dick. | Come &amp; celebrate : more center celebrations /		http://example.org/1390247#Work	blank
Compendium of bryology : a world listing of herbaria, collectors, bryologists, and current research /	Vitt, Dale H. (Dale Hadley), 1944-	Vitt, Dale H. (Dale Hadley), 1944- | Compendium of bryology : a world listing of herbaria, collectors, bryologists, and current research /		http://example.org/1402895#Work	blank
Bryophytorum bibliotheca ;	Vitt, Dale H. (Dale Hadley), 1944-	Vitt, Dale H. (Dale Hadley), 1944- | Bryophytorum bibliotheca ;		http://example.org/1402895#Work830-24	blank
Computer information systems : an introduction to data processing /	Weinberg, Gerald M.	Weinberg, Gerald M. | Computer information systems : an introduction to data processing /		http://example.org/1400450#Work	blank
Little, Brown computer systems series.	Weinberg, Gerald M.	Weinberg, Gerald M. | Little, Brown computer systems series.		http://example.org/1400450#Work830-25	blank
Concertinos, violoncello, piano, E. 159	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974.	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974. | Concertinos, cello, piano, E. 159	186106348	http://example.org/1300464#Work	blank
Sonatas, violoncello, piano, op. 65, C major.	Britten, Benjamin, 1913-1976.	Britten, Benjamin, 1913-1976. | Sonatas, violoncello, piano. op. 65, | C major	183271066	http://example.org/1300464#Work700-34	blank
Discopaedia presents	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974.	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974. | Discopaedia presents		http://example.org/1300464#Work830-35	blank
Concertos, trumpet, chamber orchestra; arranged	Schuller, Gunther.	Schuller, Gunther. | Concertos, trumpet, chamber orchestra; arranged		http://example.org/1341293#Work	blank
Concertos. Selections	Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Instrumental music. Selections	177406114	http://example.org/1325415#Work	blank
Concertos, pianos (3), orchestra, K. 242, F major.	Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Concertos, pianos (3), orchestra. K. 242, | F major	180638527	http://example.org/1325415#Work700-37	blank
Concertos, piano, string orchestra, K. 107. No. 1.	Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Concertos, piano, string orchestra. K. 107. No. 1	183282951	http://example.org/1325415#Work700-38	blank
Concertos, piano, string orchestra, K. 107. No. 3.	Mozart, Wolfgang Amadeus, 1756-1791.	Mozart, Wolfgang Amadeus, 1756-1791. | Concertos, piano, string orchestra. K. 107. No. 3	178836258	http://example.org/1325415#Work700-39	blank
Lodron.		 | Lodron.		http://example.org/1325415#Work740-41	blank
Confidential U.S. State Department central files, South Africa internal affairs and foreign affairs 1945-1949.	Lester, Robert.	Lester, Robert. | Confidential U.S. State Department central files, South Africa internal affairs and foreign affairs 1945-1949.		http://example.org/1336147#Work	blank
South Africa, internal affairs and foreign affairs 1945-1949.		 | South Africa, internal affairs and foreign affairs 1945-1949.		http://example.org/1336147#Work740-30	blank
Confidential U.S. State Department central files. South Africa, 1950-1954 internal affairs and foreign affairs.	Lester, Robert.	Lester, Robert. | Confidential U.S. State Department central files. South Africa, 1950-1954 internal affairs and foreign affairs.		http://example.org/1376017#Work	blank
Connaître la météorologie /	Leduc, Richard.	Leduc, Richard. | Connaître la météorologie /		http://example.org/1382676#Work	blank
Construction planning and management through system techniques /	Varma, Mahesh.	Varma, Mahesh. | Construction planning and management through system techniques /		http://example.org/1360593#Work	blank
Consultation paper on housing.	Canada Mortgage and Housing Corporation.	Canada Mortgage and Housing Corporation. | Consultation paper on housing.		http://example.org/1379094#Work	blank
Document d'étude sur le logement.		 | Document d'étude sur le logement.		http://example.org/1379094#Work740-22	blank
Consumer mathematics /	Lange, Walter Henry.	Lange, Walter Henry. | Consumer mathematics /		http://example.org/1341519#Work	blank
Consumer redress : Commission memorandum to the Council transmitted on 4 January 1985.	Commission of the European Communities.	Commission of the European Communities. | Consumer redress : Commission memorandum to the Council transmitted on 4 January 1985.		http://example.org/1348424#Work	blank
Bulletin of the European Communities. Supplement ;	Commission of the European Communities.	Bulletin of the European Union. Supplement	180327393	http://example.org/1348424#Work830-24	blank
Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /	Sloan, William Alexander, 1942-	Sloan, William Alexander, 1942- | Contact and enlightened co-operation a history of the fur trade in the Arctic drainage lowlands, 1717-1821 /		http://example.org/1345344#Work	blank
History of the fur trade in the Arctic drainage lowlands, 1717-1821.		 | History of the fur trade in the Arctic drainage lowlands, 1717-1821.		http://example.org/1345344#Work740-33	blank
Contemporary verse 2.		 | Contemporary verse 2.		http://example.org/1344570#Work	blank
Poetry lives here.		 | Poetry lives here.		http://example.org/1344570#Work740-39	blank
		 | 		http://example.org/1344570#Work780-40	blank
		 | 		http://example.org/1344570#Work787-41	blank
Control of exposure to welding fumes and gases /	Sampara, Paul.	Sampara, Paul. | Control of exposure to welding fumes and gases /		http://example.org/1372321#Work	blank
Cope...with a household inventory.	Alberta. Home Economics Branch.	Alberta. Home Economics Branch. | Cope...with a household inventory.		http://example.org/1361022#Work	blank
Household inventory for Alberta farm families.		 | Household inventory for Alberta farm families.		http://example.org/1361022#Work740-22	blank
Cope ... with a spending plan.	Alberta. Alberta Agriculture.	Alberta. Alberta Agriculture. | Cope ... with a spending plan.		http://example.org/1367328#Work	blank
Corona and field effects of AC overhead transmission lines : information for decision makers.	IEEE Power Engineering Society.	IEEE Power Engineering Society. | Corona and field effects of AC overhead transmission lines : information for decision makers.		http://example.org/1397103#Work	blank
Masses, A major Latin	Cherubini, Luigi, 1760-1842.	Cherubini, Luigi, 1760-1842. | Masses, A major Latin		http://example.org/1373780#Work	blank
Marche religieux.	Cherubini, Luigi, 1760-1842.	Cherubini, Luigi, 1760-1842. | Marche religieux.		http://example.org/1373780#Work700-41	blank
Messe du couronnement.		 | Messe du couronnement.		http://example.org/1373780#Work740-44	blank
Messa dell'incoronazione.		 | Messa dell'incoronazione.		http://example.org/1373780#Work740-45	blank
Corporate finance : concepts and applications /	Franks, Julian R.	Franks, Julian R. | Corporate finance : concepts and applications /		http://example.org/1002457#Work	blank
Correctional afterthoughts : programs for female offenders /	Ross, R. R. (Robert Robertson), 1933-	Ross, R. R. (Robert Robertson), 1933- | Correctional afterthoughts : programs for female offenders /		http://example.org/1327137#Work	blank
Programs for female offenders.		 | Programs for female offenders.		http://example.org/1327137#Work740-26	blank
User report ;	Ross, R. R. (Robert Robertson), 1933-	Ross, R. R. (Robert Robertson), 1933- | User report ;		http://example.org/1327137#Work830-27	blank
Countertrade primer for Canadian exporters.	Canada. Dept. of External Affairs.	Canada. Dept. of External Affairs. | Countertrade primer for Canadian exporters.		http://example.org/1392658#Work	blank
Creative diplomacy : Japan's initiative for peace and prosperity /	Abe, Shintarō, 1924-	Abe, Shintarō, 1924- | Creative diplomacy : Japan's initiative for peace and prosperity /		http://example.org/1337827#Work	blank
Japan's initiative for peace and prosperity.		 | Japan's initiative for peace and prosperity.		http://example.org/1337827#Work740-23	blank
Nippon Gaiko no Shishin.		 | Nippon Gaiko no Shishin.		http://example.org/1337827#Work740-24	blank
Ethnocriminologie de l'Afrique Noir. English	Brillon, Yves.	Brillon, Yves. | Ethnocriminologie de l'Afrique Noir. English		http://example.org/1353613#Work	blank
Cahiers de recherches criminologiques. ;	Brillon, Yves.	Brillon, Yves. | Cahiers de recherches criminologiques. ;		http://example.org/1353613#Work830-27	blank
Critic's corner.	Brott, Alexander, 1915-2005.	Brott, Alexander, 1915- | Critic's corner	187317751	http://example.org/1300482#Work	blank
Songs of contemplation.	Brott, Alexander, 1915-2005.	Brott, Alexander, 1915-2005. | Songs of contemplation	182435882	http://example.org/1300482#Work700-37	blank
Songs of contemplation.		Brott, Alexander, 1915-2005. | Songs of contemplation	182435882	http://example.org/1300482#Work740-39	blank
Crop protection handbook : cereals /	Attwood, P. J.	Attwood, P. J. | Crop protection handbook : cereals /		http://example.org/1360828#Work	blank
Cross-reference from proposed tariff item no. to present tariff item no. /	Canada. Tariff Board.	Canada. Tariff Board. | Cross-reference from proposed tariff item no. to present tariff item no. /		http://example.org/1353511#Work	blank
Cross-reference from present tariff item no. to proposed tariff item no.		 | Cross-reference from present tariff item no. to proposed tariff item no.		http://example.org/1353511#Work740-24	blank
Das föderative System der Bundesrepublik Deutschland /	Laufer, Heinz, 1933-	Laufer, Heinz, 1933- | Das föderative System der Bundesrepublik Deutschland /		http://example.org/1321850#Work	blank
Debert : a Paleo-Indian site in central Nova Scotia /	MacDonald, George F.	MacDonald, George F. | Debert : a Paleo-Indian site in central Nova Scotia /		http://example.org/1370731#Work	blank
Décadrages : peinture et cinéma /	Bonitzer, Pascal.	Bonitzer, Pascal. | Peinture et cinéma décadrages	1.65114542467309E+021	http://example.org/1374668#Work	blank
Cahiers du cinéma. Essais.	Bonitzer, Pascal.	Bonitzer, Pascal. | Cahiers du cinéma. Essais.		http://example.org/1374668#Work830-24	blank
Décideurs et gestionnaires : étude sur la direction et l'encadrement des secteurs privé et public /	Sales, Arnaud, 1942-	Sales, Arnaud, 1942- | Décideurs et gestionnaires : étude sur la direction et l'encadrement des secteurs privé et public /		http://example.org/1326250#Work	blank
Etude sur la direction et l'encadrement des secteurs privé et public.		 | Etude sur la direction et l'encadrement des secteurs privé et public.		http://example.org/1326250#Work740-29	blank
Dossiers du Conseil de la langue française. ;	Sales, Arnaud, 1942-	Sales, Arnaud, 1942- | Dossiers du Conseil de la langue française. ;		http://example.org/1326250#Work830-30	blank
Ornament narodov Sibiri kak istoricheskii istochnik. English.	Ivanov, S. V.	Ivanov, S. V. | Ornament narodov Sibiri kak istoricheskii istochnik. English.		http://example.org/1398879#Work	blank
