Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Waseda Daigaku. Engeki Hakubutsukan	n50055227	100	Waseda Daigaku. Engeki Hakubutsukan		n50055227		Waseda Daigaku. Engeki Hakubutsukan	n50055227	1	Organization		http://example.org/1007604#Agent710-21	
Japan Cultural Institute in Rome	n82148023	100	Japan Cultural Institute in Rome		n82148023		Japan Cultural Institute in Rome	n82148023	1	Organization		http://example.org/1007604#Agent710-22	
Biennale di Venezia (36th : 1972)			Biennale di Venezia (36th : 1972)				Biennale di Venezia (36th : 1972)			Meeting		http://example.org/1007604#Agent711-23	
Metropolitan Museum of Art (New York, N.Y.)	n79129629	100	Metropolitan Museum of Art (New York, N.Y.)		n79129629		Metropolitan Museum of Art (New York, N.Y.)	n79129629	0.9069767442	Organization		http://example.org/1084147#Agent110-10	
Bean, Jacob	n50005729	100	Bean, Jacob	n50005729	n50005729	0.9166666667	Bean, Jacob			Person		http://example.org/1084147#Agent700-19	
National Gallery of Art (U.S.)	n79054426	100	National Gallery of Art (U.S.)		n79054426		National Gallery of Art (U.S.)	n79054426	1	Organization		http://example.org/1078393#Agent110-11	
Block, Leigh B., 1905-1987	n96001780	100	Block, Leigh B., 1905-1987	n96001780	n96001780	1	Block, Leigh B., 1905-1987			Person		http://example.org/1078393#Agent600-20	
Block, Leigh B., Mrs., 1904-	no2005110584	100	Block, Leigh B., Mrs., 1904-	no2005110584	no2005110584	1	Block, Leigh B., Mrs., 1904-			Person		http://example.org/1078393#Agent600-21	
Los Angeles County Museum of Art	n78097041	100	Los Angeles County Museum of Art		n78097041		Los Angeles County Museum of Art	n78097041	0.9411764706	Organization		http://example.org/1078393#Agent710-23	
National Science Film Library (Canada)	n50063472	100	National Science Film Library (Canada)		n50063472		National Science Film Library (Canada)	n50063472	1	Organization		http://example.org/1019628#Agent110-10	
Davis, Judith A.	no2010027128	100	Davis, Judith A	no2010027128	no2010027128	0.9375	Davis, Judith A			Person		http://example.org/1019628#Agent700-21	
Canadian Film Institute	n50038040	100	Canadian Film Institute		n50038040		Canadian Film Institute	n50038040	1	Organization		http://example.org/1019628#Agent710-22	
Brunschwig, Chantal, 1943-	no2004053884	100	Brunschwig, Chantal, 1943-	no2004053884	no2004053884	1	Brunschwig, Chantal, 1943-			Person		http://example.org/1074866#Agent100-11	
Calvet, Louis-Jean, 1942-	n50031519	100	Calvet, Louis-Jean, 1942-	n50031519	n50031519	0.8620689655	Calvet, Louis-Jean, 1942-			Person		http://example.org/1074866#Agent700-20	
Klein, Jean-Claude, 1943-	n90646234	100	Klein, Jean-Claude, 1943-	n90646234	n90646234	1	Klein, Jean-Claude, 1943- 			Person		http://example.org/1074866#Agent700-21	
Jacob, Andrée	n85108988	100	Jacob, André				Jacob, André			Person		http://example.org/1094234#Agent100-10	
Germany (West). Auswärtiges Amt	n79147849	98	Germany (West). Auswärtiges Amt		n79147849		Germany (West). Auswärtiges Amt	n79147849	1	Jurisdiction		http://example.org/1048801#Agent110-11	
Germany. Auswärtiges Amt	n50074159	98	Germany. Auswärtiges Amt		n50074159		Germany. Auswärtiges Amt	n50074159	1	Jurisdiction		http://example.org/1048801#Agent610-19	
Germany (West). Auswärtiges Amt	n79147849	98	Germany (West). Auswärtiges Amt		n79147849		Germany (West). Auswärtiges Amt	n79147849	1	Jurisdiction		http://example.org/1048801#Agent610-20	
Sasse, Heinz Günther, 1906-			Sasse, Heinz Günther, 1906-				Sasse, Heinz Günther, 1906-			Person		http://example.org/1048801#Agent700-22	
Eickhoff, Ekkehard	n82039839	100	Eickhoff, Ekkehard	n82039839	n82039839	1	Eickhoff, Ekkehard			Person		http://example.org/1048801#Agent700-23	
Fischer, Irving, 1867-			Fischer, Irving, 1867-				Fischer, Irving, 1867-			Person		http://example.org/1018226#Agent100-11	
Comstock, Helen	n50030039	100	Comstock, Helen	n50030039	n50030039	0.9375	Comstock, Helen			Person		http://example.org/1088457#Agent100-11	
Decker, Isabelle M			Decker, Isabelle M				Decker, Isabelle M			Person		http://example.org/1067852#Agent100-12	
Sack, Allan	n85813546	100	Sack, Allan	n85813546	n85813546	1	Sack, Allan			Person		http://example.org/1036859#Agent100-9	
Yourman, Jack	n85813551	100	Yourman, Jack	n85813551	n85813551	1	Yourman, Jack			Person		http://example.org/1036859#Agent700-21	
Lochhead, Douglas	n50050755	100	Lochhead, Douglas	n50050755	n50050755	1	Lochhead, Douglas			Person		http://example.org/1064932#Agent100-22	
Souster, Raymond, 1921- 	n50016480	89	Souster, Raymond, 1921- 	n50016480	n50016480	0.8518518519	Souster, Raymond, 1921- 			Person		http://example.org/1064932#Agent700-36	
Wheatley, John H			Wheatley, John H				Wheatley, John H			Person		http://example.org/1061087#Agent100-9	
Coon, Herbert L.	n87803256	100	Coon, Herbert L	n87803256	n87803256	0.9375	Coon, Herbert L			Person		http://example.org/1061087#Agent700-22	
Landmark 4-H Home Ec. Club			Landmark 4-H Home Ec. Club				Landmark 4-H Home Ec. Club			Organization		http://example.org/1024886#Agent710-22	
Tyson, Geoffrey, 1898-1971	n89166753	100	Tyson, Geoffrey, 1898-1971	n89166753	n89166753	1	Tyson, Geoffrey, 1898-1971			Person		http://example.org/1017248#Agent100-10	
National and Grindlays Bank Limited	n82012007	100	National and Grindlays Bank Limited				National and Grindlays Bank Limited			Organization		http://example.org/1017248#Agent610-18	
Hillier, Bevis, 1940-	n50035197	100	Hillier, Bevis, 1940-	n50035197	n50035197	0.84	Hillier, Bevis, 1940-			Person		http://example.org/1085410#Agent100-13	
Mattleman, Marciene Schreiber			Mattleman, Marciene Schreiber				Mattleman, Marciene Schreiber			Person		http://example.org/1060609#Agent100-9	
Trese, Leo J. (Leo John), 1902-1970	no00100946	100	Trese, Leo J. (Leo John), 1902-1970	no00100946	no00100946	1	Trese, Leo J. (Leo John), 1902-1970			Person		http://example.org/1036570#Agent100-10	
Stern, Renée Bernd, 1875-1940	no94013595	90	Stern, Renée Bernd, 1875-1940				Stern, Renée Bernd, 1875-1940			Person		http://example.org/1031905#Agent100-11	
Newton, David E.	n50006004	100	Newton, David E				Newton, David E			Person		http://example.org/1008728#Agent100-9	
Bookspan, Martin	n86025448	100	Bookspan, Martin	n86025448	n86025448	1	Bookspan, Martin			Person		http://example.org/1083461#Agent100-12	
Fuchs, H. O. (Henry Otten), 1907-	n80014409	100	Fuchs, H. O. (Henry Otten), 1907-	n80014409	n80014409	1	Fuchs, H. O. (Henry Otten), 1907- 			Person		http://example.org/1075850#Agent100-11	
Steidel, Robert F., 1926-	n79104276	100	Steidel, Robert F., 1926- 	n79104276	n79104276	0.8620689655	Steidel, Robert F., 1926- 			Person		http://example.org/1075850#Agent700-20	
International Meeting on Alpine Meteorology 10ème, Grenoble, 1968			International Meeting on Alpine Meteorology 10ème, Grenoble, 1968				International Meeting on Alpine Meteorology 10ème, Grenoble, 1968			Meeting		http://example.org/1060512#Agent111-9	
Larrazábal Henríquez, Osvaldo	n50056980	96	Larrazábal Henríquez, Osvaldo	n50056980	n50056980	1	Larrazábal Henríquez, Osvaldo			Person		http://example.org/1025938#Agent100-10	
Paris (France) Centre de perfectionnement dans l'administration des affaires. Bureau de recherches industrielles et commerciales			Paris (France) Centre de perfectionnement dans l'administration des affaires. Bureau de recherches industrielles et commerciales				Paris (France) Centre de perfectionnement dans l'administration des affaires. Bureau de recherches industrielles et commerciales			Jurisdiction		http://example.org/1004794#Agent110-10	
Rodd, Marcel			Rodd, Marcel				Rodd, Marcel			Person		http://example.org/1089472#Agent100-11	
Solomon R. Guggenheim Museum	n79065486	100	Solomon R. Guggenheim Museum		n79065486		Solomon R. Guggenheim Museum	n79065486	0.9655172414	Organization		http://example.org/1077935#Agent110-12	
Arvin, Kay K., 1922-			Arvin, Kay K., 1922-				Arvin, Kay K., 1922-			Person		http://example.org/1028872#Agent100-12	
Québec (Province). Musée d'art contemporain	n81039941	97	Québec (Province). Musée d'art contemporain		n81039941		Québec (Province). Musée d'art contemporain	n81039941	0.976744186	Jurisdiction		http://example.org/1048239#Agent110-10	
David Mirvish Gallery (Toronto, Ont.)			David Mirvish Gallery (Toronto, Ont.)				David Mirvish Gallery (Toronto, Ont.)			Organization		http://example.org/1048239#Agent710-22	
Canada Council	n80126149	100	Canada Council				Canada Council			Organization		http://example.org/1048239#Agent710-23	
Museum of Modern Art (New York, N.Y.)	n79021281	100	Museum of Modern Art (New York, N.Y.)		n79021281		Museum of Modern Art (New York, N.Y.)	n79021281	0.9459459459	Organization		http://example.org/1077923#Agent110-11	
Miller, Dorothy Canning, 1904-2003	n50033661	100	Miller, Dorothy Canning, 1904-2003	n50033661	n50033661	1	Miller, Dorothy Canning, 1904-2003			Person		http://example.org/1077923#Agent700-20	
Munson, Gorham Bert, 1896-1969	n50031996	100	Munson, Gorham Bert, 1896-1969	n50031996	n50031996	1	Munson, Gorham Bert, 1896-1969			Person		http://example.org/1024412#Agent100-10	
Bibliothèque nationale et universitaire de Strasbourg	n50065677	99	Bibliothèque nationale et universitaire de Strasbourg		n50065677		Bibliothèque nationale et universitaire de Strasbourg	n50065677	0.9433962264	Organization		http://example.org/1011528#Agent710-22	
Bywaters, Jerry	n93097504	100	Bywaters, Jerry	n93097504	n93097504	1	Bywaters, Jerry			Person		http://example.org/1087877#Agent700-20	
Pleyel, Ignaz, 1757-1831	n79107743	100	Pleyel, Ignaz, 1757-1831	n79107743	n79107743	1	Pleyel, Ignaz, 1757-1831			Person		http://example.org/1079930#Agent100-10	
Miller, Henry, active 1856			Miller, Henry, active 1856				Miller, Henry, active 1856			Person		http://example.org/1026269#Agent100-11	
Coulter, Edith M. (Edith Margaret), 1880-1963	nr94001121	100	Coulter, Edith M. (Edith Margaret), 1880-1963	nr94001121	nr94001121	1	Coulter, Edith M. (Edith Margaret), 1880-1963			Person		http://example.org/1026269#Agent700-23	
Bancroft, Eleanor A			Bancroft, Eleanor A				Bancroft, Eleanor A			Person		http://example.org/1026269#Agent700-24	
Symposium on the Engineering Aspects of Magnetohydrodynamics. 13th, Stanford University, 1973			Symposium on the Engineering Aspects of Magnetohydrodynamics. 13th, Stanford University, 1973				Symposium on the Engineering Aspects of Magnetohydrodynamics. 13th, Stanford University, 1973			Meeting		http://example.org/1077202#Agent111-9	
Stanford University	n79054636	100	Stanford University		n79054636		Stanford University	n79054636	0.9473684211	Organization		http://example.org/1077202#Agent710-19	
Wood, Robert Coldwell, 1923-2005	n79093281	100	Wood, Robert Coldwell, 1923-2005	n79093281	n79093281	1	Wood, Robert Coldwell, 1923-2005			Person		http://example.org/1052189#Agent100-10	
University of Kansas. Museum of Art	n82232750	100	University of Kansas. Museum of Art		n82232750		University of Kansas. Museum of Art	n82232750	0.9722222222	Organization		http://example.org/1087443#Agent110-11	
Schrader, J. L.	nr88007851	100	Schrader, J. L	nr88007851	nr88007851	0.8571428571	Schrader, J. L			Person		http://example.org/1087443#Agent700-24	
Johnson, Diane, 1943-	n79018716	100	Johnson, Diane, 1943-	n79018716	n79018716	0.84	Johnson, Diane, 1943-			Person		http://example.org/1087443#Agent700-25	
Ponce de León Freyre, Eduardo			Ponce de León Freyre, Eduardo				Ponce de León Freyre, Eduardo			Person		http://example.org/101826#Agent100-11	
Zamora Lucas, Florentino	no2006102931	100	Zamora Lucas, Florentino	no2006102931	no2006102931	1	Zamora Lucas, Florentino			Person		http://example.org/101826#Agent700-22	
Instituto Nacional del Libro Español	n78054383	99	Instituto Nacional del Libro Español		n78054383		Instituto Nacional del Libro Español	n78054383	0.8648648649	Organization		http://example.org/101826#Agent710-23	
Scholl, Servatius Herman			Scholl, Servatius Herman				Scholl, Servatius Herman			Person		http://example.org/1025323#Agent100-11	
Toney, Anthony	nr2004028261	100	Toney, Anthony	nr2004028261	nr2004028261	0.9333333333	Toney, Anthony			Person		http://example.org/1084075#Agent100-13	
Sims, William Lee	no00102001	100	Sims, William Lee	no00102001	no00102001	1	Sims, William Lee			Person		http://example.org/1006452#Agent100-10	
Colgate-Palmolive Company	n85015715	100	Colgate-Palmolive Company		n85015715		Colgate-Palmolive Company	n85015715	1	Organization		http://example.org/1006452#Agent610-18	
Pitman, Bonnie	n87816129	100	Pitman, Bonnie	n87816129	n87816129	0.9333333333	Pitman, Bonnie			Person		http://example.org/1079456#Agent100-13	
Winnipeg Art Gallery	n80046909	100	Winnipeg Art Gallery		n80046909		Winnipeg Art Gallery	n80046909	1	Organization		http://example.org/1079456#Agent710-23	
Man, Felix H., 1893-1985	n82150345	100	Man, Felix H., 1893-1985	n82150345	n82150345	1	Man, Felix H., 1893-1985			Person		http://example.org/1087904#Agent100-10	
Mauny, Michel de	n80106937	100	Mauny, Michel de	n80106937	n80106937	1	Mauny, Michel de			Person		http://example.org/1034507#Agent100-11	
Shirazi, Yusuf H.	n87136256	100	Shirazi, Yusuf H	n87136256	n87136256	0.9411764706	Shirazi, Yusuf H			Person		http://example.org/1005712#Agent700-19	
Twain, Mark, 1835-1910	n79021164	100	Twain, Mark, 1835-1910	n79021164	n79021164	1	Twain, Mark, 1835-1910			Person		http://example.org/1016688#Agent100-9	
Lindsay, Jack, 1900-1990	n78088953	100	Lindsay, Jack, 1900-1990	n78088953	n78088953	0.96	Lindsay, Jack, 1900-1990			Person		http://example.org/101432#Agent100-10	
Janson, H. W. (Horst Woldemar), 1913-1982	n79086369	100	Janson, H. W. (Horst Woldemar), 1913-1982	n79086369	n79086369	0.9756097561	Janson, H. W. (Horst Woldemar), 1913-1982			Person		http://example.org/1051619#Agent100-12	
Edwards, Sherman	n93010472	100	Edwards, Sherman	n93010472	n93010472	0.9411764706	Edwards, Sherman			Person		http://example.org/1073811#Agent100-12	
Stone, Peter, 1930-2003	n80067627	100	Stone, Peter, 1930-2003	n80067627	n80067627	1	Stone, Peter, 1930-2003			Person		http://example.org/1073811#Agent700-23	
DeWolf, Mark, 1946-	nr94025917	100	DeWolf, Mark, 1946-	nr94025917	nr94025917	1	DeWolf, Mark, 1946-			Person		http://example.org/1033434#Agent100-11	
University of King's College (Halifax, N.S.)	n82094711	100	University of King's College (Halifax, N.S.)		n82094711		University of King's College (Halifax, N.S.)	n82094711	1	Organization		http://example.org/1033434#Agent610-19	
File, George			File, George				File, George			Person		http://example.org/1033434#Agent700-20	
University of King's College (Halifax, N.S.) Alumni Association			University of King's College (Halifax, N.S.) Alumni Association				University of King's College (Halifax, N.S.) Alumni Association			Organization		http://example.org/1033434#Agent710-21	
Depew, Chauncey M. (Chauncey Mitchell), 1834-1928	n85363417	100	Depew, Chauncey M. (Chauncey Mitchell), 1834-1928	n85363417	n85363417	1	Depew, Chauncey M. (Chauncey Mitchell), 1834-1928			Person		http://example.org/1002063#Agent100-11	
Perry, John, 1914-2009	n79144925	100	Perry, John, 1914-2009	n79144925	n79144925	1	Perry, John, 1914-2009			Person		http://example.org/1010659#Agent100-11	
American Federation of Arts	n78096867	100	American Federation of Arts		n78096867		American Federation of Arts	n78096867	0.9259259259	Organization		http://example.org/1084647#Agent110-11	
Wunder, Richard P.	n50014896	100	Wunder, Richard P	n50014896	n50014896	0.9444444444	Wunder, Richard P			Person		http://example.org/1084647#Agent700-20	
Samuel H. Kress Foundation	n50059075	100	Samuel H. Kress Foundation		n50059075		Samuel H. Kress Foundation	n50059075	0.9615384615	Organization		http://example.org/1084647#Agent710-21	
Poses Institute of Fine Arts	no96037299	100	Poses Institute of Fine Arts		no96037299		Poses Institute of Fine Arts	no96037299	1	Organization		http://example.org/1085855#Agent110-12	
Gilbert, Creighton	n79150369	100	Gilbert, Creighton	n79150369	n79150369	1	Gilbert, Creighton			Person		http://example.org/1085855#Agent700-24	
Pericoli, Ugo, 1923-	n84090199	100	Pericoli, Ugo, 1923-	n84090199	n84090199	1	Pericoli, Ugo, 1923-			Person		http://example.org/1071118#Agent100-14	
Mackenzie, William Lyon, 1795-1861	n50041841	100	Mackenzie, William Lyon, 1795-1861	n50041841	n50041841	1	Mackenzie, William Lyon, 1795-1861			Person		http://example.org/1070706#Agent100-15	
Mackenzie, William Lyon, 1795-1861	n50041841	100	Mackenzie, William Lyon, 1795-1861	n50041841	n50041841	1	Mackenzie, William Lyon, 1795-1861			Person		http://example.org/1070706#Agent600-26	
Keilty, Greg, 1946-			Keilty, Greg, 1946-				Keilty, Greg, 1946-			Person		http://example.org/1070706#Agent700-29	
Eckert, Georg	nr2004024796	100	Eckert, Georg				Eckert, Georg			Person		http://example.org/1048661#Agent100-11	
Sozialdemokratische Partei Deutschlands	n80067141	100	Sozialdemokratische Partei Deutschlands		n80067141		Sozialdemokratische Partei Deutschlands	n80067141	0.975	Organization		http://example.org/1048661#Agent610-19	
Cowling, Maurice	n80113936	100	Cowling, Maurice	n80113936	n80113936	1	Cowling, Maurice			Person		http://example.org/1047364#Agent100-14	
Great Britain. Parliament	n79017964	100	Great Britain. Parliament		n79017964		Great Britain. Parliament	n79017964	1	Jurisdiction		http://example.org/1047364#Agent610-23	
Frow, Edmund	n50025747	100	Frow, Edmund	n50025747	n50025747	1	Frow, Edmund			Person		http://example.org/105409#Agent100-11	
Trades Union Congress	n80015531	100	Trades Union Congress		n80015531		Trades Union Congress	n80015531	0.9090909091	Organization		http://example.org/105409#Agent610-19	
Katanka, Michael	n50044645	100	Katanka, Michael	n50044645	n50044645	1	Katanka, Michael			Person		http://example.org/105409#Agent700-21	
Dent, H. C. (Harold Collett), 1894-1995	n50001703	100	Dent, H. C. (Harold Collett), 1894-1995	n50001703	n50001703	1	Dent, H. C. (Harold Collett), 1894-1995			Person		http://example.org/1058879#Agent100-15	
McDougall United Church, Edmonton			McDougall United Church, Edmonton				McDougall United Church, Edmonton			Organization		http://example.org/1063120#Agent610-18	
Vidal, Gore, 1925-2012	n79040150	100	Vidal, Gore, 1925-2012	n79040150	n79040150	0.9565217391	Vidal, Gore, 1925-2012			Person		http://example.org/100242#Agent100-16	
Miller, Lillian B.	n80025859	100	Miller, Lillian B	n80025859	n80025859	0.9444444444	Miller, Lillian B			Person		http://example.org/100697#Agent100-11	
Centennial Exhibition (1876 : Philadelphia, Pa.)	n50057204	100	Centennial Exhibition (1876 : Philadelphia, Pa.)		n50057204		Centennial Exhibition (1876 : Philadelphia, Pa.)	n50057204	0.9791666667	Meeting		http://example.org/100697#Agent611-20	
Nugent, Walter T. K.	n50023333	100	Nugent, Walter T. K	n50023333	n50023333	0.95	Nugent, Walter T. K			Person		http://example.org/100697#Agent700-22	
Morgan, H. Wayne (Howard Wayne)	n50005831	100	Morgan, H. Wayne (Howard Wayne)	n50005831	n50005831	1	Morgan, H. Wayne (Howard Wayne)			Person		http://example.org/100697#Agent700-23	
Bruce, Robert V.	n82072950	100	Bruce, Robert V	n82072950	n82072950	0.9375	Bruce, Robert V			Person		http://example.org/1000154#Agent100-11	
Marshall Field &amp; Company			Marshall Field &amp; Company				Marshall Field &amp; Company			Organization		http://example.org/1071446#Agent110-13	
Schroeder, Joseph J.	n80036782	100	Schroeder, Joseph J	n80036782	n80036782	0.95	Schroeder, Joseph J			Person		http://example.org/1071446#Agent700-27	
Pfemfert, Franz	n84056598	100	Pfemfert, Franz	n84056598	n84056598	1	Pfemfert, Franz			Person		http://example.org/1037226#Agent700-20	
Brooke, Rupert, 1887-1915	n80057200	100	Brooke, Rupert, 1887-1915	n80057200	n80057200	1	Brooke, Rupert, 1887-1915			Person		http://example.org/1004086#Agent100-10	
Kriegel, Annie	n50043963	100	Kriegel, Annie	n50043963	n50043963	1	Kriegel, Annie			Person		http://example.org/1003431#Agent100-11	
Parti socialiste (France)	n80126099	100	Parti socialiste (France)		n80126099		Parti socialiste (France)	n80126099	0.92	Organization		http://example.org/1003431#Agent610-19	
Confédération générale du travail	n50057068	94	Confédération générale du travail		n50057068		Confédération générale du travail	n50057068	0.9705882353	Organization		http://example.org/1003431#Agent610-20	
Becker, Jean Jacques	n81029855	100	Becker, Jean Jacques				Becker, Jean Jacques			Person		http://example.org/1003431#Agent700-24	
Communist Party of the United States of America. National Election Campaign Committee	n90665782	100	Communist Party of the United States of America. National Election Campaign Committee		n90665782		Communist Party of the United States of America. National Election Campaign Committee	n90665782	1	Organization		http://example.org/1061272#Agent110-9	
Herd, Norman	n50029474	100	Herd, Norman	n50029474	n50029474	1	Herd, Norman			Person		http://example.org/1000243#Agent100-12	
Levine, Philip, 1928-	n78093573	88	Levine, Philip, 1928-	n78093573	n78093573	0.84	Levine, Philip, 1928-			Person		http://example.org/1008939#Agent100-16	
Aster, Sidney, 1942-	n50030705	100	Aster, Sidney, 1942-	n50030705	n50030705	0.8333333333	Aster, Sidney, 1942-			Person		http://example.org/1029068#Agent100-15	
De Chirico, Giorgio, 1888-1978	n79069950	100	De Chirico, Giorgio, 1888-1978	n79069950	n79069950	0.9677419355	De Chirico, Giorgio, 1888-1978			Person		http://example.org/1084740#Agent100-12	
Carluccio, Luigi	n79082111	100	Carluccio, Luigi	n79082111	n79082111	1	Carluccio, Luigi			Person		http://example.org/1084740#Agent700-22	
American Road Builders' Association	n78043323	100	American Road Builders' Association		n78043323		American Road Builders' Association	n78043323	1	Organization		http://example.org/1072903#Agent110-10	
American Road Builders' Association	n78043323	100	American Road Builders' Association		n78043323		American Road Builders' Association	n78043323	1	Organization		http://example.org/1072903#Agent710-20	
Commerce Clearing House	n79038541	100	Commerce Clearing House		n79038541		Commerce Clearing House	n79038541	1	Organization		http://example.org/1021673#Agent110-11	
United States. Dept. of the Treasury	n78096864		United States. Dept. of the Treasury		n78096864		United States. Dept. of the Treasury	n78096864	0.8536585366	Jurisdiction		http://example.org/1021673#Agent710-20	
IEEE G-MTT International Microwave Symposium (1965 : Clearwater, Fla.)			IEEE G-MTT International Microwave Symposium (1965 : Clearwater, Fla.)				IEEE G-MTT International Microwave Symposium (1965 : Clearwater, Fla.)			Meeting		http://example.org/1056034#Agent111-10	
Institute of Electrical and Electronics Engineers. Florida West Coast Section. G-MTT Chapter			Institute of Electrical and Electronics Engineers. Florida West Coast Section. G-MTT Chapter				Institute of Electrical and Electronics Engineers. Florida West Coast Section. G-MTT Chapter			Organization		http://example.org/1056034#Agent710-22	
Fischer, William C.	n84107870	100	Fischer, William C	n84107870	n84107870	0.9473684211	Fischer, William C			Person		http://example.org/1030528#Agent100-11	
Intermountain Forest and Range Experiment Station (Ogden, Utah)	n79062786	100	Intermountain Forest and Range Experiment Station (Ogden, Utah)		n79062786		Intermountain Forest and Range Experiment Station (Ogden, Utah)	n79062786	1	Organization		http://example.org/1030528#Agent710-21	
Drenick, R. F. (Rudolf F.), 1914-	n82071963	100	Drenick, R. F. (Rudolf F.), 1914-	n82071963	n82071963	1	Drenick, R. F. (Rudolf F.), 1914-			Person		http://example.org/1056178#Agent100-9	
United States. Air Force. Office of Scientific Research	n79110283	100	United States. Air Force. Office of Scientific Research		n79110283		United States. Air Force. Office of Scientific Research	n79110283	1	Jurisdiction		http://example.org/1056178#Agent710-20	
National Education Association of the United States	n79053188	100	National Education Association of the United States				National Education Association of the United States			Organization		http://example.org/1056953#Agent110-12	
Shrand, David	n50022929	100	Shrand, David	n50022929	n50022929	1	Shrand, David			Person		http://example.org/1009542#Agent100-11	
South Africa	n79023005	100	South Africa				South Africa			Organization		http://example.org/1009542#Agent610-19	
Leonard Koetser Gallery	n85355689	100	Leonard Koetser Gallery		n85355689		Leonard Koetser Gallery	n85355689	1	Organization		http://example.org/1085857#Agent110-13	
Barnes, Robert E.	n83169927	100	Barnes, Robert E				Barnes, Robert E			Person		http://example.org/1071496#Agent100-12	
Clearinghouse and Laboratory for Census Data	n50076814	100	Clearinghouse and Laboratory for Census Data		n50076814		Clearinghouse and Laboratory for Census Data	n50076814	1	Organization		http://example.org/1071496#Agent710-24	
Winek, Charles L., 1936-	n89000044	100	Winek, Charles L., 1936-	n89000044	n89000044	1	Winek, Charles L., 1936-			Person		http://example.org/1035269#Agent100-12	
Simmons, W. W. (William W.), 1912-	n85008243	100	Simmons, W. W. (William W.), 1912-	n85008243	n85008243	1	Simmons, W. W. (William W.), 1912-			Person		http://example.org/108241#Agent100-10	
American Management Associations. Center for Planning &amp; Implementation			American Management Associations. Center for Planning &amp; Implementation				American Management Associations. Center for Planning &amp; Implementation			Organization		http://example.org/108241#Agent710-19	
National Council of Teachers of English	n79023195	100	National Council of Teachers of English		n79023195		National Council of Teachers of English	n79023195	0.975	Organization		http://example.org/1068828#Agent110-11	
European Conference on Circuit Theory and Design London, 1974			European Conference on Circuit Theory and Design London, 1974				European Conference on Circuit Theory and Design London, 1974			Meeting		http://example.org/1057154#Agent111-10	
Institution of Electrical Engineers. Electronics Division	n80086504	100	Institution of Electrical Engineers. Electronics Division		n80086504		Institution of Electrical Engineers. Electronics Division	n80086504	0.9298245614	Organization		http://example.org/1057154#Agent710-20	
Wolff, Robert Paul	n50013738	100	Wolff, Robert Paul				Wolff, Robert Paul			Person		http://example.org/1044052#Agent100-13	
Almon, Clopper	no91026557	100	Almon, Clopper	no91026557	no91026557	1	Almon, Clopper			Person		http://example.org/1019858#Agent700-22	
IEEE Conference on Neural Information Processing Systems--Natural and Synthetic (1987 : Denver, Colo.)			IEEE Conference on Neural Information Processing Systems--Natural and Synthetic (1987 : Denver, Colo.)				IEEE Conference on Neural Information Processing Systems--Natural and Synthetic (1987 : Denver, Colo.)			Meeting		http://example.org/1002432#Agent111-10	
Institute of Electrical and Electronics Engineers	n79053217	100	Institute of Electrical and Electronics Engineers		n79053217		Institute of Electrical and Electronics Engineers	n79053217	0.9387755102	Organization		http://example.org/1002432#Agent710-22	
American Physical Society	n80096507	100	American Physical Society		n80096507		American Physical Society	n80096507	0.92	Organization		http://example.org/1002432#Agent710-23	
IEEE Conference on Neural Information Processing Systems--Natural and Synthetic	n88276976	100	IEEE Conference on Neural Information Processing Systems--Natural and Synthetic		n88276976		IEEE Conference on Neural Information Processing Systems--Natural and Synthetic	n88276976	1	Meeting		http://example.org/1002432#Agent711-24	
Princeton University. Art Museum	n79129214	100	Princeton University. Art Museum		n79129214		Princeton University. Art Museum	n79129214	0.875	Organization		http://example.org/1084692#Agent110-14	
Princeton University. Dept. of Art and Archaeology	n83051849	94	Princeton University. Dept. of Art and Archaeology		n83051849		Princeton University. Dept. of Art and Archaeology	n83051849	0.8363636364	Organization		http://example.org/1084692#Agent710-25	
Miller, Mildred Elizabeth Maxfield, 1910-	n81100611	100	Miller, Mildred Elizabeth Maxfield, 1910-	n81100611	n81100611	1	Miller, Mildred Elizabeth Maxfield, 1910-			Person		http://example.org/1092777#Agent100-10	
Iseley, Nancy	no2009163672	92	Iseley, Nancy	no2009163672	no2009163672	0.8125	Iseley, Nancy			Person		http://example.org/1092777#Agent700-20	
Hilton, H. H., Jr. (Henry Hoyt), 1905-1965	no2009167676	100	Hilton, H. H., Jr. (Henry Hoyt), 1905-1965	no2009167676	no2009167676	1	Hilton, H. H., Jr. (Henry Hoyt), 1905-1965			Person		http://example.org/1092777#Agent700-21	
De passione Judas (Anglo-Norman poem)			De passione Judas (Anglo-Norman poem)				De passione Judas (Anglo-Norman poem)			Organization		http://example.org/1092777#Agent710-22	
Seth (Anglo-Norman poem)			Seth (Anglo-Norman poem)				Seth (Anglo-Norman poem)			Organization		http://example.org/1092777#Agent710-23	
Trevani, Francesco	no93036003	100	Trevani, Francesco	no93036003	no93036003	1	Trevani, Francesco			Person		http://example.org/1041492#Agent100-9	
Fuller, John G. (John Grant), 1913-1990	n50016478	100	Fuller, John G. (John Grant), 1913-1990	n50016478	n50016478	1	Fuller, John G. (John Grant), 1913-1990			Person		http://example.org/1002422#Agent100-13	
